256;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);
1;B,P(165);ZTM;Jankowo;0;0;0;0;
2;P(1698);ZTM;Kowale Szlachecka (n/¿);2;2;2;2;
3;P(1696);ZTM;Kowale - Kasztelañska;1;1;1;1;
4;P(1694);ZTM;Kowale - Starowiejska;1;1;1;1;
5;P(1766);ZTM;Kowale - Os. Olimp;1;1;1;1;
6;P(1957),S;ZTM;Os. Œwiêtokrzyskie (n/¿);1;1;1;1;
7;P(1790);ZTM;Wie¿ycka;3;3;3;3;
8;P(1320);ZTM;Niepo³omicka;1;2;2;2;
9;P(1318);ZTM;£ódzka (n/¿);2;2;2;2;
10;P(390);ZTM;£ostowice Œwiêtokrzyska;1;1;1;1;
11;P(190);ZTM;£ostowice Œwiêtokrzyska;0;0;0;0;
12;P(1743);ZTM;Œwiêtokrzyska (n/¿);1;1;1;1;
13;P(1232);ZTM;Platynowa;1;2;1;1;
14;P(1230);ZTM;Ma³omiejska (n/¿);1;2;1;1;
15;P(1228);ZTM;Ptasia;2;2;2;2;
16;P(1206);ZTM;Sandomierska;2;3;3;3;
17;P(1204);ZTM;Zremb (n/¿);1;1;2;1;
18;P(1202);ZTM;Elmet (n/¿);1;1;2;1;
19;P(1200);ZTM;Zaroœlak (n/¿);1;2;2;1;
20;P(1028);ZTM;Brama Wy¿ynna;2;2;2;2;
21;B,N,K0,P(1016);ZTM;Dworzec G³ówny;2;2;3;2;
