283;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59)
1;B,P(153);ZTM;NiedŸwiednik;0;0;0;0;0;0;0;0
2;P(1440);ZTM;Podkarpacka;1;1;1;1;1;1;1;1
3;P(192);ZTM;Leœna Góra;2;2;2;2;2;2;2;
4;P(1427);ZTM;Leœna G. - Przychodnia;1;1;1;2;1;1;1;
5;P(1431);ZTM;Potokowa;2;2;3;3;2;2;2;2
6;P(1433);ZTM;Ogrodowa (n/¿);1;1;1;1;1;1;1;1
7;P(1379);ZTM;Brêtowo PKM;1;1;1;1;1;1;1;1
8;P(1381);ZTM;Kolumba;2;2;2;2;2;2;2;2
9;P(1374);ZTM;Warneñska;1;2;2;1;1;1;1;1
10;P(1726);ZTM;Belgradzka (n/¿);1;2;2;1;1;1;1;1
11;P(1724);ZTM;Piekarnicza;2;2;2;2;2;2;2;2
12;P(1343);ZTM;Park Naukowo - Technologiczny;2;4;4;2;2;2;2;2
13;P(1360);ZTM;Schuberta;1;1;1;1;1;1;1;1
14;P(1358);ZTM;Schumana;1;1;1;1;1;1;1;1
15;P(1356);ZTM;Pomorskie Szko³y Rzemios³;1;2;1;1;1;1;1;1
16;P(1916);ZTM;Szpital ZakaŸny;2;3;3;3;2;2;2;2
17;P(1920);ZTM;Centrum Medycyny Inwazyjnej;1;2;1;1;1;1;1;1
18;P(1915);ZTM;Uniwersyteckie Centrum Kliniczne;2;4;2;3;3;3;1;1
19;P(1912);ZTM;Opera Ba³tycka (n/¿);3;4;4;4;3;4;3;3
20;B,N,K0,P(188);ZTM;Politechnika SKM;1;2;1;1;1;1;1;1
