99;Dni powszednie;#EEEEEE
05:08;X8;;
05:38;X8;;
05:29;X9;;
05:54;X9;;
06:24;X10;;
07:02;X8;;
06:54;X10;;
07:24;X10;;
07:54;X11;;
08:24;X11;;
08:55;X12;;
09:35;X13;;
10:15;X13;;
10:55;X13;;
11:35;X13;;
12:15;X13;;
12:49;X13;;
13:17;X14;;
13:47;X14;;
14:17;X14;;
14:47;X14;;
15:17;X14;;
15:47;X14;;
16:17;X14;;
16:47;X14;;
17:19;X13;;
17:49;X13;;
18:20;X13;;
19:00;X13;;
19:35;X13;;
99;Soboty, niedziele i œwiêta;#FFE4E1
09:16;X8;;
09:54;X12;;
11:19;X13;;
12:44;X13;;
13:54;X13;;
15:19;X13;;
16:44;X13;;
