99;Dni powszednie - okres nauki szkolnej;#EEEEEE
05:04;X0;;
05:48;X1;;
06:33;X2;;
06:49;X3;;
07:34;X4;;
08:04;X4;;
09:09;X4;;
09:54;X3;;
11:09;X4;;
12:09;X4;;
13:09;X4;;
14:09;X4;;
15:03;X5;;
15:19;X3;;
15:59;X3;;
16:39;X3;;
17:19;X3;;
18:24;X3;;
19:40;X6;;
20:27;X7;;
21:59;X6;;
99;Dni powszednie - ferie i wakacje;#EEEEEE
05:04;X0;;
05:48;X1;;
06:33;X2;;
06:49;X3;;
07:34;X4;;
08:04;X4;;
09:09;X4;;
09:54;X3;;
11:09;X4;;
12:09;X4;;
13:09;X4;;
14:09;X4;;
15:19;X3;;
16:19;X3;;
17:19;X3;;
18:24;X3;;
19:40;X6;;
20:27;X7;;
21:59;X6;;
99;Soboty, niedziele i œwiêta;#FFE4E1
05:28;X17;;
06:30;X17;;
08:30;X17;;
09:30;X17;;
10:30;X17;;
11:29;X4;;
12:29;X4;;
13:29;X4;;
14:29;X4;;
15:29;X4;;
16:29;X4;;
17:29;X4;;
18:29;X4;;
20:31;X6;;
21:59;X6;;
