188;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);
1;B,P(1752);ZTM;Zaspa SKM;;0;
2;P(1482);ZTM;Dywizjonu 303;;2;
3;P(1480);ZTM;Rzeczypospolitej;;1;
4;P(1478);ZTM;Leszczyñskich;;1;
5;P(1447);ZTM;Zaspa - Szpital;;1;
6;P(1448);ZTM;Czarny Dwór;;2;
7;P(1999);ZTM;al. Hallera (n/¿);0;1;
8;P(1491);ZTM;Dworska;1;1;
9;P(1493);ZTM;PCK;1;1;
10;P(1495);ZTM;BrzeŸno;2;2;
11;P(1589);ZTM;Krasickiego (n/¿);1;1;
12;P(1585);ZTM;Latarnia Morska;3;3;
13;P(1587);ZTM;Rybo³owców;1;1;
14;P(1591);ZTM;Plac Wolnoœci;2;2;
15;P(1501);ZTM;Zajezdnia NOWY PORT;1;1;
16;B,N,K0,P(325);ZTM;Nowy Port Szaniec Zachodni;2;2;
