151;Flagi;Gmina;Nazwa;X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59);X16(00:00-29:59);X19(00:00-29:59);X20(00:00-29:59);X21(00:00-29:59);
1;B,P(1009);ZTM;Wa³y Piastowskie;0;;0;;0;0;0;;0;
2;P(1013);ZTM;Dworzec G³ówny;2;0;3;0;4;4;2;0;3;
3;P(1033);ZTM;Brama Wy¿ynna;2;2;2;2;3;3;2;2;2;
4;P(1201);ZTM;Zaroœlak (n/¿);2;2;2;2;2;3;2;2;2;
5;P(1203);ZTM;Elmet (n/¿);0;0;1;1;1;1;0;0;0;
6;P(1205);ZTM;Zremb (n/¿);1;1;1;1;1;1;1;1;1;
7;P(1207);ZTM;Sandomierska;1;1;1;1;1;1;1;1;1;
8;P(1209);ZTM;Rejtana;1;1;1;1;2;2;1;1;2;
9;P(1211);ZTM;Goœcinna;2;2;2;2;2;2;2;2;2;
10;P(1213);ZTM;Nowiny;1;1;1;1;1;1;1;1;1;
11;P(1215);ZTM;Ukoœna;2;2;2;2;2;2;1;1;2;
12;P(1217);ZTM;Lipce - Niegowska;2;2;2;2;2;2;2;2;2;
13;P(1219);ZTM;Wêze³ Lipce (n/¿);1;1;1;1;1;1;1;1;1;
14;B,N,K0,P(175);ZTM;Œw. Wojciech;4;4;4;4;4;4;4;4;4;
