269;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);
1;B,P(1884);ZTM;Marsa;;0;0;
2;P(1638);ZTM;Jednoro¿ca;;1;1;
3;P(1577);ZTM;So³dka;;2;3;
4;P(1575);ZTM;Siedleckiego;;2;2;
5;P(1513);ZTM;Nowa;0;2;2;
6;P(1515);ZTM;Barniewicka;1;1;1;
7;P(1517);ZTM;Niedzia³kowskiego;2;2;2;
8;P(1519);ZTM;Biwakowa;1;1;1;
9;P(1521);ZTM;Osowa PKP;2;2;2;
10;P(1781);ZTM;Saturna;2;2;2;
11;B,N,K0,P(174);ZTM;Os. Barniewice;2;2;2;
