164;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);
1;B,P(193);ZTM;Kie≥pinek PKM;0;0;0;0;
2;P(1930);ZTM;SzczÍúliwa;3;3;3;3;
3;P(1928);ZTM;Przytulna (n/ø);1;1;1;1;
4;P(1278);ZTM;JasieÒ - Dzia≥ki;2;2;2;2;
5;P(1258);ZTM;èrÛdlana (n/ø);2;2;2;2;
6;P(1276);ZTM;Zwierzyniecka;0;0;0;0;
7;P(1274);ZTM;Damroki;2;2;2;2;
8;P(1306);ZTM;Jab≥oniowa (n/ø);2;2;2;2;
9;P(168);ZTM;Ujeúcisko;2;2;2;2;
10;P(1312);ZTM;Kielecka;1;1;1;1;
11;P(1314);ZTM;Przemyska;1;2;2;2;
12;P(1980);ZTM;Wilanowska;1;1;1;1;
13;P(1310);ZTM;Cmentarz £ostowicki;2;2;2;2;
14;P(1633);ZTM;Emaus;2;2;2;2;
15;P(1343);ZTM;Park Naukowo - Technologiczny;2;2;2;2;
16;P(1360);ZTM;Schuberta;2;2;2;2;
17;P(1358);ZTM;Schumana;1;1;1;1;
18;P(1356);ZTM;Pomorskie Szko≥y Rzemios≥;1;1;1;1;
19;P(1354);ZTM;Jarowa;1;1;1;1;
20;P(1352);ZTM;KrÍta;1;2;1;1;
21;P(1350);ZTM;Traugutta - Sobieskiego;1;2;1;1;
22;P(1348);ZTM;Uphagena;2;3;2;3;
23;B,N,K0,P(314);ZTM;Wrzeszcz PKP;2;2;2;2;
