164;Flagi;Gmina;Nazwa;X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);
1;B,P(115);ZTM;Wrzeszcz PKP;0;0;0;
2;P(1593);ZTM;Jaœkowa Dolina;2;3;3;
3;P(1347);ZTM;Matejki;2;2;2;
4;P(1349);ZTM;Traugutta - Sobieskiego;1;1;2;
5;P(1351);ZTM;Krêta;1;1;1;
6;P(1353);ZTM;Jarowa;1;1;1;
7;P(1355);ZTM;Pomorskie Szko³y Rzemios³;1;1;1;
8;P(1357);ZTM;Schumana;1;1;1;
9;P(1359);ZTM;Schuberta;1;1;1;
10;P(1344);ZTM;Park Naukowo - Technologiczny;2;2;2;
11;P(1346);ZTM;Nowolipie (n/¿);2;2;2;
12;P(1309);ZTM;Emaus;2;2;3;
13;P(1311);ZTM;Cmentarz £ostowicki;2;2;2;
14;P(1979);ZTM;Wilanowska;1;1;2;
15;P(1981);ZTM;Przemyska;1;1;1;
16;P(1313);ZTM;Kielecka;1;1;1;
17;P(168);ZTM;Ujeœcisko;2;2;2;
18;P(1308);ZTM;Jab³oniowa (n/¿);2;2;2;
19;P(1275);ZTM;Damroki;2;2;2;
20;P(1295);ZTM;Pólnicy;1;1;1;
21;P(1277);ZTM;Zwierzyniecka;1;1;1;
22;P(1929);ZTM;Przytulna;4;4;4;
23;P(1931);ZTM;Szczêœliwa;1;1;1;
24;B,N,K0,P(193);ZTM;Kie³pinek PKM;3;3;3;
