N12;Flagi;Gmina;Nazwa;X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59)
1;B,P(121);ZTM;¯abianka SKM;;0;;0;
2;P(1570);ZTM;Pomorska - Osiedle (n/¿);;2;;2;
3;P(1487);ZTM;Pomorska (n/¿);;1;;1;
4;P(1489);ZTM;Piastowska (n/¿);;1;;1;
5;P(1456);ZTM;Czerwony Dwór (n/¿);;1;;1;
6;P(1471);ZTM;Ch³opska  (n/¿);;2;;2;
7;P(1473);ZTM;Obroñców Wybrze¿a  (n/¿);;1;;1;
8;P(1475);ZTM;Przymorze Wielkie (n/¿);;1;0;1;
9;P(1477);ZTM;Czarny Dwór (n/¿);;1;1;1;
10;P(1479);ZTM;Zaspa - Szpital (n/¿);;1;1;1;
11;P(1651);ZTM;Korczaka (n/¿);;1;1;1;
12;P(1653);ZTM;Drzewieckiego (n/¿);;1;1;1;
13;P(1910);ZTM;Hallera - Baza ZKM (n/¿);;3;3;3;
14;P(1999);ZTM;al. Hallera (n/¿);;2;;;0
15;P(1491);ZTM;Dworska (n/¿);;1;;;1
16;P(1493);ZTM;PCK (n/¿);;1;;;1
17;P(1495);ZTM;BrzeŸno  (n/¿);;1;;;1
18;P(1589);ZTM;Krasickiego (n/¿);;1;;;1
19;P(1497);ZTM;Zespó³ Szkó³ Morskich (n/¿);;1;;;1
20;P(1499);ZTM;Wyzwolenia (n/¿);;1;;;1
21;P(1893);ZTM;Wyzwolenia - Mar. Polskiej (n/¿);;1;;;1
22;P(1591);ZTM;Pl. Wolnoœci (n/¿);;1;;;1
23;P(1501);ZTM;Zajezdnia NOWY PORT (n/¿);;1;;;1
24;P(325);ZTM;Nowy Port Szaniec Zachodni (n/¿);;1;;;1
25;P(1641);ZTM;Wyzwolenia - Mar. Polskiej (n/¿);;1;;;1
26;P(1643);ZTM;Œnie¿na (n/¿);;1;;;1
27;P(1645);ZTM;PGE ARENA Gdañsk (n/¿);;1;;;1
28;P(1993);ZTM;¯aglowa - AmberExpo (n/¿);;1;;;1
29;P(1647);ZTM;Swojska (n/¿);;1;;;1
30;P(1649);ZTM;Stocznia Pó³nocna (n/¿);;2;;;2
31;P(1009);ZTM;Wa³y Piastowskie (n/¿);;2;;;2
32;P(1021);ZTM;Dworzec G³ówny;0;10;;;2
33;P(1033);ZTM;Brama Wy¿ynna;2;2;;;
34;P(1329);ZTM;Bema (n/¿);3;3;;;
35;P(1331);ZTM;P³owce (n/¿);1;1;;;
36;P(1881);ZTM;Focha (n/¿);1;1;;;
37;P(1333);ZTM;Cygañska Góra (n/¿);1;1;;;
38;P(1335);ZTM;Wagnera (n/¿);1;1;;;
39;P(1337);ZTM;Otwarta (n/¿);1;1;;;
40;P(1339);ZTM;Kurpiñskiego (n/¿);1;1;;;
41;P(1370);ZTM;Dobrowolskiego (n/¿);3;3;;;
42;P(1342);ZTM;Piecki Wileñska (n/¿);1;1;;;
43;P(1367);ZTM;Dobrowolskiego (n/¿);1;1;;;
44;P(1369);ZTM;Piecewska (n/¿);1;1;;;
45;P(1371);ZTM;Warneñska (n/¿);2;2;;;
46;P(1373);ZTM;Budapesztañska (n/¿);1;1;;;
47;P(1777);ZTM;Migowo (n/¿);1;1;;;
48;P(1849);ZTM;Wo³kowyska (n/¿);1;1;;;
49;P(1851);ZTM;Zacna (n/¿);1;1;;;
50;P(1853);ZTM;Staw Wróbla (n/¿);1;1;;;
51;B,N,K0,P(127);ZTM;Jasieñska;1;1;;;
