175;Flagi;Gmina;Nazwa;X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X14(00:00-29:59)
1;B,P(162);ZTM;Siedlce;0;0;0;0;0
2;P(1309);ZTM;Emaus;2;2;2;2;2
3;P(1311);ZTM;Cmentarz £ostowicki;2;2;2;2;2
4;P(1979);ZTM;Wilanowska;1;2;2;1;2
5;P(1315);ZTM;Przemyska;1;1;1;1;1
6;P(1317);ZTM;P³ocka;1;1;1;1;1
7;P(191);ZTM;£ostowice Œwiêtokrzyska;2;2;2;2;2
8;P(1319);ZTM;£ódzka (n/¿);1;1;1;1;1
9;P(1321);ZTM;Niepo³omicka;1;2;2;1;2
10;P(1323);ZTM;Przebiœniegowa;2;3;2;1;1
11;P(1757);ZTM;Srebrna;1;1;1;1;1
12;P(1859);ZTM;Knyszyñska;2;2;2;2;2
13;P(183);ZTM;Kampinoska;1;1;1;1;1
14;P(1856);ZTM;Kolorowa;2;2;2;2;2
15;P(1860);ZTM;Srebrna;2;2;2;2;2
16;P(1605);ZTM;Pastelowa;1;1;1;1;1
17;P(1325);ZTM;Przemian (n/¿);1;1;1;1;1
18;P(1327);ZTM;Starogardzka;1;1;1;1;1
19;B,N,K0,P(133);ZTM;Maækowy Mleczarnia;2;2;2;2;2
