158;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59)
1;B,P(116);ZTM;Wrzeszcz PKP;;0;0;0;0
2;P(1634);ZTM;Galeria Ba³tycka;;2;2;2;2
3;P(1728);ZTM;Skar¿yñskiego;;2;2;2;2
4;P(1752);ZTM;Zaspa SKM;;1;1;1;1
5;P(1482);ZTM;Dywizjonu 303;;2;2;1;1
6;P(1480);ZTM;Rzeczypospolitej;;1;1;1;1
7;P(1478);ZTM;Leszczyñskich;;1;1;1;1
8;P(1447);ZTM;Zaspa - Szpital;;1;1;1;1
9;P(1448);ZTM;Czarny Dwór;;2;2;2;2
10;P(1580),1,I,H;ZTM;al. Hallera (n/¿);;;;;1
11;P(1997);ZTM;al. Hallera (n/¿);0;1;1;1;
12;P(1992);ZTM;AmberExpo;4;4;4;4;
13;P(1994);ZTM;¯aglowa - AmberExpo (n/¿);1;1;1;1;
14;P(1644);ZTM;PGE ARENA Gdañsk;2;2;2;2;
15;P(1642);ZTM;Œnie¿na (n/¿);2;2;3;2;
16;P(1893);ZTM;Wyzwolenia - Marynarki Polskiej;2;2;2;2;
17;P(1591);ZTM;Plac Wolnoœci;1;1;1;1;
18;P(1501);ZTM;Zajezdnia NOWY PORT;1;1;1;1;
19;B,N,K0,P(325);ZTM;Nowy Port Szaniec Zachodni;1;1;1;1;
