174;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59)
1;B,P(177);ZTM;Otomin - Pêtla;0;0;0;0;0;0;0;0
2;P(1810);ZTM;Otomin Sarnia;2;2;2;2;2;2;2;2
3;P(1808);ZTM;Otomin Dziewicza (n/¿);2;2;2;2;2;2;2;2
4;P(1806),S;ZTM;Lubowidzka (n/¿);1;1;1;1;1;1;1;1
5;P(1804);ZTM;Szadó³ki Obwodnica (n/¿);1;1;1;1;1;1;1;1
6;P(1852);ZTM;Przywidzka;1;;;;1;;1;
7;P(1854);ZTM;Czermiñskiego;3;;;;3;;3;
8;P(1686);ZTM;Przywidzka;1;1;1;1;1;2;2;1
9;P(1684);ZTM;Szadó³ki;1;1;1;1;1;1;1;1
10;P(1968);ZTM;Leszczynowa (n/¿);1;1;1;1;1;1;1;1
11;P(1970);ZTM;Lawendowe Wzgórze;1;1;1;1;1;2;2;1
12;P(168);ZTM;Ujeœcisko;2;2;4;3;3;4;4;3
13;P(1312);ZTM;Kielecka;1;1;1;1;1;1;1;1
14;P(1314);ZTM;Przemyska;1;1;2;2;2;2;2;1
15;P(1246);ZTM;Cieszyñskiego;3;3;3;3;3;3;3;3
16;B,N,K0,P(329);ZTM;Che³m Witosa;1;1;2;2;2;2;2;2
