255;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);
1;B,P(186);ZTM;Kowale - Apollina;0;0;
2;P(1868);ZTM;Kowale - Pl. Afrodyty;1;1;
3;P(1766);ZTM;Kowale - Os. Olimp;2;2;
4;P(1957),S;ZTM;Os. Œwiêtokrzyskie (n/¿);1;1;
5;P(1790);ZTM;Wie¿ycka;2;2;
6;P(1320);ZTM;Niepo³omicka;1;2;
7;P(1318);ZTM;£ódzka (n/¿);2;2;
8;B,N,K0,P(390);ZTM;£ostowice Œwiêtokrzyska;1;1;
