N6;Flagi;Gmina;Nazwa;X0(00:00-29:59)
1;B,P(153);ZTM;NiedŸwiednik;0
2;P(1440);ZTM;Podkarpacka (n/¿);1
3;P(1431);ZTM;Potokowa (n/¿);2
4;P(1433);ZTM;Ogrodowa (n/¿);1
5;P(1379);ZTM;Brêtowo PKM (n/¿);1
6;P(1381);ZTM;Kolumba (n/¿);1
7;P(1373);ZTM;Budapesztañska (n/¿);1
8;P(128);ZTM;Migowo (n/¿);1
9;P(1376);ZTM;Budapesztañska (n/¿);1
10;P(1374);ZTM;Warneñska (n/¿);1
11;P(1372);ZTM;Piecewska (n/¿);1
12;P(1338);ZTM;Kurpiñskiego (n/¿);2
13;P(1336);ZTM;Otwarta (n/¿);1
14;P(1334);ZTM;Wagnera (n/¿);1
15;P(1332);ZTM;Cygañska Góra (n/¿);1
16;P(1880);ZTM;Focha (n/¿);1
17;P(1330);ZTM;P³owce (n/¿);1
18;P(1328);ZTM;Bema (n/¿);1
19;P(1260);ZTM;Urz¹d Miejski (n/¿);2
20;P(1030);ZTM;Brama Wy¿ynna;3
21;B,N,K0,P(1020);ZTM;Dworzec G³ówny;2
