8;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59);X31(00:00-29:59);X32(00:00-29:59)
1;B,P(2169),1,I,H;ZTM;W³adys³awa IV;;0;;;;;;;;;;;;;;;0;0
2;P(209),1,I,H;ZTM;Nowy Port (Oliwska);;1;;;;;;;;;;;;;;;1;
3;P(2200),1,I,H;ZTM;Przychodnia;;0;;;;;;;;;;;;;;;0;
4;P(2198),1,I,H;ZTM;Rybo³owców;;1;;;;;;;;;;;;;;;1;
5;P(2196),1,I,H;ZTM;Kasztanowa;;1;;;;;;;;;;;;;;;1;
6;P(2194),1,I,H;ZTM;Latarnia Morska;;1;;;;;;;;;;;;;;;1;
7;P(2192),1,I,H;ZTM;Krasickiego;;3;;;;;;;;;;;;;;;3;
8;P(2190),1,I,H;ZTM;BrzeŸno;;1;;;;;;;;;;;;;;;1;
9;P(2188),1,I,H;ZTM;Mazurska;;1;;;;;;;;;;;;;;;1;
10;P(2186),1,I,H;ZTM;Wczasy;;1;;;;;;;;;;;;;;;1;
11;P(2184),1,I,H;ZTM;Dworska;;2;;;;;;;;;;;;;;;2;
12;P(2178),1,I,H;ZTM;al. Hallera;;1;;;;;;;;;;;;;;;1;
13;P(2176),1,I,H;ZTM;Grudzi¹dzka;;2;;;;;;;;;;;;;;;2;
14;P(2174),1,I,H;ZTM;Kolonia Uroda;;1;;;;;;;;;;;;;;;1;
15;P(2172),1,I,H;ZTM;Koœciuszki;;2;;;;;;;;;;;;;;;2;
16;P(2075),1,I,H;ZTM;Mickiewicza;;1;;;;;;;;;;;;;;;1;
17;P(208),1,I,H;ZTM;Nowy Port (Góreckiego);;;;;;;;;;;;;;;;;;1
18;P(2166),1,I,H;ZTM;Wyzwolenia - Marynarki Polskiej;;;;;;;;;;;;;;;;;;2
19;P(2164),1,I,H;ZTM;Œnie¿na;;;;;;;;;;;;;;;;;;1
20;P(2162),1,I,H;ZTM;PGE ARENA Gdañsk;;;;;;;;;;;;;;;;;;2
21;P(2160),1,I,H;ZTM;Mostostal;;;;;;;;;;;;;;;;;;1
22;P(2158),1,I,H;ZTM;¯aglowa - AmberExpo;;;;;;;;;;;;;;;;;;1
23;P(2156),1,I,H;ZTM;Swojska;;;;;;;;;;;;;;;;;;2
24;P(2154),1,I,H;ZTM;Wêze³ Kliniczna;;;;;;;;;;;;;;;;;;1
25;P(2069),1,I,H;ZTM;Kliniczna - Szpital;;;;;;;;;;;;;;;;;;1
26;P(2033),1,I,H;ZTM;Strzy¿a PKM;0;;;;;;;;;;;;;;;;;
27;P(2035),1,I,H;ZTM;Uniwersytet;2;;;;;;;;;;;;;;;;;
28;P(2037),1,I,H;ZTM;Ba¿yñskiego;1;;;;;;;;;;;;;;;;;
29;P(2039),1,I,H;ZTM;Tetmajera;1;;;;;;;;;;;;;;;;;
30;P(2041),1,I,H;ZTM;Derdowskiego;1;;;;;;;;;;;;;;;;;
31;P(2043),1,I,H;ZTM;Obroñców Westerplatte;1;;;;;;;;;;;;;;;;;
32;P(2045),1,I,H;ZTM;Oliwa;2;;;;;;;;;;;;;;;;;
33;P(2047),1,I,H;ZTM;Opacka;2;;;;;;;;;;;;;;;;;
34;P(2049),1,I,H;ZTM;Subis³awa;2;;;;;;;;;;;;;;;;;
35;P(2051),1,I,H;ZTM;Pomorska - Osiedle;2;;;;;;;;;;;;;;;;;
36;B,P(207);ZTM;Stogi Pla¿a;;;;0;0;;;;0;0;0;0;0;;;;;
37;P(2130);ZTM;Stogi Pasanil;;;0;4;4;0;0;0;4;4;4;4;4;0;0;0;;
38;P(2128);ZTM;Zimna;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
39;P(2126);ZTM;Lessowa;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
40;P(2124);ZTM;Kaczeñce;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
41;P(2122);ZTM;Sucharskiego;;;2;2;2;2;2;2;2;2;2;2;2;2;1;1;;
42;P(2120);ZTM;Lenartowicza;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
43;P(2118);ZTM;Przeróbka;;;1;1;1;1;1;1;1;1;1;1;1;1;0;0;;
44;P(2116);ZTM;G³êboka;;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;
45;P(2114);ZTM;Brama ¯u³awska;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;
46;P(2110);ZTM;Akademia Muzyczna;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
47;P(2108);ZTM;Chmielna;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
