156;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);
1;B,P(1964);ZTM;Rêbowo;0;0;0;0;0;0;
2;P(1854);ZTM;Czermiñskiego;2;2;2;2;2;2;
3;P(1908),1,I;ZTM;Zak³ad Utylizacyjny;;3;;;;3;
4;P(1686);ZTM;Przywidzka;1;1;2;2;1;2;
5;P(1684);ZTM;Szadó³ki;1;1;1;1;1;1;
6;P(1968);ZTM;Leszczynowa (n/¿);1;1;1;1;1;1;
7;P(1970);ZTM;Lawendowe Wzgórze;1;1;2;1;1;1;
8;P(168);ZTM;Ujeœcisko;3;3;3;3;3;3;
9;P(1312);ZTM;Kielecka;1;1;1;1;1;1;
10;P(1314);ZTM;Przemyska;2;2;2;2;1;1;
11;P(1980);ZTM;Wilanowska;1;1;1;1;1;1;
12;P(1310);ZTM;Cmentarz £ostowicki;1;1;2;1;1;1;
13;P(1264);ZTM;Emaus;2;2;2;2;2;2;
14;B,N,K0,P(362);ZTM;Siedlce;1;1;1;1;1;1;
