156;Flagi;Gmina;Nazwa;X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);
1;B,P(162);ZTM;Siedlce;0;0;0;
2;P(1309);ZTM;Emaus;2;2;2;
3;P(1311);ZTM;Cmentarz £ostowicki;2;2;3;
4;P(1979);ZTM;Wilanowska;1;1;2;
5;P(1981);ZTM;Przemyska;1;1;1;
6;P(1313);ZTM;Kielecka;1;1;1;
7;P(168);ZTM;Ujeœcisko;2;2;2;
8;P(1971);ZTM;Lawendowe Wzgórze;2;3;3;
9;P(1969);ZTM;Leszczynowa (n/¿);1;1;1;
10;P(1685);ZTM;Szadó³ki;1;1;1;
11;P(1852);ZTM;Przywidzka;1;1;1;
12;P(1965);ZTM;Czermiñskiego;1;1;1;
13;B,N,K0,P(1963);ZTM;Rêbowo;1;1;1;
