184;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X6(00:00-29:59);
1;B,P(153);ZTM;NiedŸwiednik;0;0;0;
2;P(1440);ZTM;Podkarpacka;1;1;1;
3;P(1431);ZTM;Potokowa;2;2;2;
4;P(1433);ZTM;Ogrodowa (n/¿);1;1;1;
5;P(1379);ZTM;Brêtowo PKM;1;1;1;
6;P(1381);ZTM;Kolumba;1;1;2;
7;P(1374);ZTM;Warneñska;2;2;2;
8;P(1372);ZTM;Piecewska;1;2;2;
9;P(1370);ZTM;Dobrowolskiego;1;1;1;
10;P(1342);ZTM;Piecki Wileñska;1;1;1;
11;P(1367);ZTM;Dobrowolskiego;1;1;1;
12;P(1338);ZTM;Kurpiñskiego;3;4;4;
13;P(1336);ZTM;Otwarta;1;1;1;
14;P(1334);ZTM;Wagnera;2;2;2;
15;P(1332);ZTM;Cygañska Góra;1;1;1;
16;P(1880);ZTM;Focha (n/¿);1;1;1;
17;P(1330);ZTM;P³owce;1;1;1;
18;P(1328);ZTM;Bema;1;1;1;
19;P(1260);ZTM;Urz¹d Miejski;2;2;2;
20;B,N,K0,P(9135);ZTM;Dworzec PKS;3;3;3;
