166;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59)
1;B,P(187);ZTM;Rafineria - brama 8;;0;0
2;P(1112);ZTM;Dobrowo;;2;2
3;P(1110),S;ZTM;Rafineria;;2;2
4;P(1108);ZTM;Micha³ki Wiadukt (n/¿);;1;1
5;P(158),1,I;ZTM;Sztutowska;0;;3
6;P(1106);ZTM;Tarcice;2;2;2
7;P(1104);ZTM;B³onia;1;1;1
8;P(1256);ZTM;Elbl¹ska - Wiadukt;1;1;1
9;P(1102);ZTM;Mia³ki Szlak;1;1;1
10;P(1100);ZTM;Mostek ;1;1;1
11;P(1042);ZTM;Brama ¯u³awska;2;2;2
12;P(1662);ZTM;Akademia Muzyczna;1;1;1
13;P(1038);ZTM;¯abi Kruk;2;2;2
14;P(1030);ZTM;Brama Wy¿ynna;3;3;3
15;B,N,K0,P(1022);ZTM;Dworzec G³ówny;2;2;2
