99;Dni powszednie;#EEEEEE
05:25;X0;
05:55;X1;
06:25;X2;
06:45;X3;
07:07;X2;
07:30;X3;
07:52;X2;
08:20;X1;
08:47;X0;
09:10;X1;
09:40;X1;
10:20;X1;
11:00;X1;
11:40;X1;
12:20;X1;
13:00;X3;
13:30;X3;
14:00;X2;
14:20;X3;
14:40;X2;
15:04;X2;
15:24;X2;
15:40;X3;
16:08;X2;
16:30;X3;
16:52;X2;
17:22;X0;
17:40;X1;
18:18;X1;
19:00;X0;
19:38;X1;
20:20;X0;
20:58;X1;
21:40;X4;
22:08;X5;
23:04;X4;
99;Soboty;#E6E6FA
05:40;X4;
06:33;X5;
07:15;X10;
07:43;X11;
08:20;X11;
09:00;X11;
09:40;X11;
10:20;X11;
11:00;X11;
11:40;X12;
12:20;X12;
13:00;X12;
13:40;X12;
14:20;X12;
15:00;X12;
15:40;X12;
16:20;X12;
17:00;X12;
17:40;X12;
18:20;X13;
18:56;X12;
19:56;X12;
20:58;X11;
22:08;X5;
23:22;X4;
99;Niedziele i œwiêta;#FFE4E1
06:06;X5;
07:15;X4;
08:13;X5;
09:30;X5;
10:50;X11;
11:42;X10;
12:20;X11;
13:02;X10;
13:40;X11;
14:22;X10;
15:00;X11;
15:42;X10;
16:20;X11;
17:02;X10;
17:40;X11;
18:20;X10;
18:56;X11;
19:56;X11;
20:58;X11;
22:08;X5;
23:22;X4;
