124;Flagi;Gmina;Nazwa;X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);
1;B,P(116);ZTM;Wrzeszcz PKP;0;0;0;;
2;P(1634);ZTM;Galeria Ba³tycka;2;2;2;;
3;P(1441);ZTM;Kiliñskiego;2;2;2;;
4;P(1442);ZTM;Legionów;2;2;3;;
5;P(1443);ZTM;Kopalniana;1;2;2;;
6;P(1444);ZTM;Cio³kowskiego;1;1;1;;
7;P(1445);ZTM;Drzewieckiego;1;1;1;0;
8;P(1446);ZTM;Korczaka (n/¿);1;1;1;1;
9;P(1478);ZTM;Leszczyñskich;0;1;2;0;
10;B,N,K0,P(1447);ZTM;Zaspa - Szpital;1;1;1;1;
