123;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59)
1;B,P(135);ZTM;Równa;0;0;0;0
2;P(1774);ZTM;G³ucha (n/¿);1;1;1;1
3;P(1772);ZTM;Kolonia Mysia ;1;1;1;1
4;P(1199);ZTM;Sandomierska - Olszyñska;2;;;2
5;P(1770);ZTM;Olszyñska;3;;;3
6;P(1198);ZTM;Sandomierska - Olszyñska;1;2;2;1
7;P(1196);ZTM;Dolna Brama;2;2;2;2
8;P(1194);ZTM;Urz¹d Wojewódzki / Marsza³kowski;1;1;1;1
9;P(1032);ZTM;Brama Wy¿ynna;2;2;3;3
10;B,N,K0,P(1016);ZTM;Dworzec G³ówny;2;2;2;2
