158;Flagi;Gmina;Nazwa;X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);
1;B,P(125);ZTM;Nowy Port Szaniec Zachodni;;0;;0;0;
2;P(1502);ZTM;W³adys³awa IV;;1;;1;1;
3;P(1592);ZTM;Plac Wolnoœci;;1;;2;2;
4;P(1643);ZTM;Œnie¿na (n/¿);;2;;2;2;
5;P(1645);ZTM;PGE ARENA Gdañsk;0;2;0;2;2;
6;P(1993);ZTM;¯aglowa - AmberExpo (n/¿);1;1;2;2;2;
7;P(1991);ZTM;AmberExpo;1;1;1;1;1;
8;P(1989);ZTM;Wêze³ Harfa (n/¿);1;1;1;1;1;
9;P(1996);ZTM;Uczniowska;3;3;3;3;3;
10;P(1998);ZTM;al. Hallera (n/¿);1;1;1;1;3;
11;P(1477);ZTM;Czarny Dwór;1;1;1;1;1;
12;P(1479);ZTM;Zaspa - Szpital;2;2;2;2;2;
13;P(1481);ZTM;Leszczyñskich;1;1;1;1;1;
14;P(1483);ZTM;Rzeczypospolitej;1;1;1;1;1;
15;P(1485);ZTM;Pilotów;2;2;2;2;2;
16;P(124);ZTM;Zaspa SKM;1;1;1;1;1;
17;P(1629);ZTM;Wojska Polskiego;2;2;2;2;2;
18;P(1382);ZTM;Galeria Ba³tycka;2;2;2;2;2;
19;B,N,K0,P(313);ZTM;Wrzeszcz PKP;1;1;1;1;1;
