606;Flagi;Gmina;Nazwa;X1(00:00-29:59);
1;B,P(1017);ZTM;Dworzec G³ówny;0;
2;P(1031);ZTM;Brama Wy¿ynna;2;
3;P(1975);ZTM;Twierdza Wis³oujœcie (n/¿);14;
4;P(1079);ZTM;Przystañ ¯eglugi;3;
5;B,N,K0,P(141);ZTM;Westerplatte;1;
