606;Flagi;Gmina;Nazwa;X0(00:00-29:59);
1;B,P(141);ZTM;Westerplatte;0;
2;P(1080);ZTM;Przystañ ¯eglugi;1;
3;P(1976);ZTM;Twierdza Wis³oujœcie (n/¿);3;
4;P(1030);ZTM;Brama Wy¿ynna;14;
5;B,N,K0,P(1016);ZTM;Dworzec G³ówny;2;
