131;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59)
1;B,P(137);ZTM;Olszynka - Szko³a;0;0;0;0;
2;P(1183);ZTM;Sierpowa;1;1;1;1;
3;P(1184);ZTM;Bratki;1;1;1;1;
4;P(1760);ZTM;Stokrotki;1;1;1;1;
5;P(1869);ZTM;Miedza (n/¿);1;1;1;1;
6;P(1870);ZTM;Zagony (n/¿);1;1;1;1;
7;P(1770);ZTM;Olszyñska;1;1;1;1;
8;P(1198);ZTM;Sandomierska - Olszyñska;1;1;1;1;
9;P(1196);ZTM;Dolna Brama;2;2;2;2;
10;P(1194);ZTM;Urz¹d Wojewódzki / Marsza³kowski;1;1;1;1;
11;P(1030);ZTM;Brama Wy¿ynna;2;2;3;3;
12;P(1014);ZTM;Dworzec G³ówny;2;2;2;2;0
13;P(1331);ZTM;P³owce;5;6;6;;6
14;P(1881);ZTM;Focha (n/¿);1;1;1;;1
15;P(1333);ZTM;Cygañska Góra;1;1;1;;1
16;P(1846);ZTM;Nad Jarem - Zakosy;2;2;2;;2
17;P(1847);ZTM;Suchanino;1;1;1;;1
18;P(1337);ZTM;Otwarta;1;1;1;;1
19;P(1339);ZTM;Kurpiñskiego;1;1;1;;1
20;P(1369);ZTM;Piecewska;3;3;3;;3
21;P(1371);ZTM;Warneñska;1;1;1;;1
22;P(1380);ZTM;Kolumba;1;1;1;;1
23;P(1378);ZTM;Brêtowo PKM;1;1;1;;1
24;P(1435);ZTM;Dolne M³yny (n/¿);2;2;2;;2
25;P(1437);ZTM;Potokowa - Matemblewska (n/¿);1;1;1;;1
26;P(1735);ZTM;Karskiego;1;1;1;;1
27;B,N,K0,P(150);ZTM;Matemblewo;2;2;2;;2
