9;Flagi;Gmina;Nazwa;X2(00:00-29:59);X3(00:00-29:59);
1;B,P(2118);ZTM;Przeróbka;0;0;
2;P(2116);ZTM;G³êboka;3;3;
3;P(2114);ZTM;Brama ¯u³awska;2;2;
4;P(2110);ZTM;Akademia Muzyczna;1;1;
5;P(2108);ZTM;Chmielna;1;1;
6;P(2106);ZTM;¯abi Kruk;1;1;
7;P(2104);ZTM;Okopowa;2;2;
8;P(2102);ZTM;Brama Wy¿ynna;2;2;
9;P(2001);ZTM;Dworzec G³ówny;2;2;
10;P(2005);ZTM;Brama Oliwska;2;2;
11;P(2007);ZTM;Chodowieckiego;1;1;
12;P(2009);ZTM;Uniwersytet Medyczny;1;1;
13;P(2011);ZTM;Traugutta;1;2;
14;P(2015);ZTM;Opera Ba³tycka;2;2;
15;P(2017);ZTM;Politechnika;1;1;
16;P(2019);ZTM;Miszewskiego;1;1;
17;P(2021);ZTM;Jaœkowa Dolina;2;2;
18;P(2023);ZTM;Klonowa;1;2;
19;P(2025);ZTM;Galeria Ba³tycka;2;2;
20;P(2027);ZTM;Wojska Polskiego;2;2;
21;P(2029);ZTM;Zamenhofa;1;1;
22;P(2031);ZTM;Zajezdnia;1;1;
23;B,N,K0,P(213);ZTM;Strzy¿a PKM;1;1;
