9;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);
1;B,P(213);ZTM;Strzy¿a PKM;0;0;
2;P(2030);ZTM;Zajezdnia;1;1;
3;P(2028);ZTM;Zamenhofa;1;1;
4;P(2026);ZTM;Wojska Polskiego;1;1;
5;P(2024);ZTM;Galeria Ba³tycka;2;2;
6;P(2022);ZTM;Klonowa;1;2;
7;P(2020);ZTM;Jaœkowa Dolina;2;2;
8;P(2018);ZTM;Miszewskiego;2;2;
9;P(2016);ZTM;Politechnika;1;1;
10;P(2014);ZTM;Opera Ba³tycka;2;2;
11;P(2012);ZTM;Traugutta;2;2;
12;P(2010);ZTM;Uniwersytet Medyczny;1;1;
13;P(2008);ZTM;Chodowieckiego;1;1;
14;P(2006);ZTM;Brama Oliwska;1;1;
15;P(2002);ZTM;Dworzec G³ówny;2;2;
16;P(2101);ZTM;Brama Wy¿ynna;2;2;
17;P(2103);ZTM;Okopowa;2;2;
18;P(2105);ZTM;¯abi Kruk;1;1;
19;P(2107);ZTM;Chmielna;1;1;
20;P(2109);ZTM;Akademia Muzyczna;1;1;
21;P(2113);ZTM;Brama ¯u³awska;2;2;
22;P(2115);ZTM;G³êboka;2;2;
23;B,N,K0,P(2117);ZTM;Przeróbka;3;3;
