X8;1;2;W;kurs z zajazdem do ZOO, bez zajazdów do przystanku Wysoka Galaktyczna;
X8;3;7;W;kurs bez zajazdów do przystanku Wysoka Galaktyczna;
X13;1;2;Y;kurs z zajazdem do ZOO, bez zajazdów do Odyseusza i Wysoka Galaktyczna;
X13;3;6;Y;kurs bez zajazdów do Odyseusza i Wysoka Galaktyczna;
X14;1;2;Y;kurs z zajazdem do ZOO, bez zajazdów do Odyseusza i Wysoka Galaktyczna;
X14;3;6;Y;kurs bez zajazdów do Odyseusza i Wysoka Galaktyczna;
