169;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59)
1;B,P(152);ZTM;Osowa Przesypownia;0;0;0;
2;P(1524);ZTM;Nowy Œwiat;1;1;1;
3;P(1522);ZTM;Osowa PKP;1;2;2;0
4;P(1520);ZTM;Biwakowa;2;2;2;2
5;P(1518);ZTM;Niedzia³kowskiego;1;1;1;1
6;P(1516);ZTM;Barniewicka;1;1;1;1
7;P(1514);ZTM;Nowa;1;1;1;1
8;P(1512);ZTM;Sopocka;1;2;2;1
9;P(1510);ZTM;Osowa - Obwodnica;2;2;2;2
10;P(1508);ZTM;Rynarzewo (n/¿);4;4;4;4
11;P(1504);ZTM;Cystersów;3;3;4;3
12;B,N,K0,P(1534);ZTM;Oliwa Pêtla Tramwajowa;2;2;3;2
