99;Dni powszednie;#EEEEEE
04:54;X0;;
05:14;X0;;
05:34;X0;;
05:54;X0;;
06:14;X1;;
06:34;X1;;
06:54;X1;;
07:14;X1;;
07:34;X1;;
07:54;X1;;
08:14;X1;;
08:34;X1;;
09:04;X2;;
09:34;X2;;
10:04;X2;;
10:34;X2;;
11:04;X2;;
11:34;X2;;
12:04;X2;;
12:34;X2;;
13:04;X2;;
13:34;X2;;
14:06;X3;;
14:26;X3;;
14:46;X3;;
15:06;X3;;
15:26;X3;;
15:46;X3;;
16:06;X3;;
16:29;X3;;
16:49;X3;;
17:09;X2;;
17:29;X2;;
17:49;X2;;
18:19;X2;;
18:45;X2;;
19:10;X2;;
19:40;X2;;
20:09;X0;;
20:39;X4;;
21:04;X4;;
21:34;X4;;
22:00;X4;;
22:30;X4;;
23:00;X4;;
99;Soboty;#E6E6FA
05:03;X4;;
05:33;X4;;
06:03;X15;;
06:33;X15;;
07:03;X15;;
07:33;X15;;
08:04;X16;;
08:35;X16;;
08:55;X16;;
09:15;X16;;
09:35;X16;;
09:55;X16;;
10:15;X16;;
10:35;X16;;
10:55;X16;;
11:15;X16;;
11:35;X16;;
11:55;X16;;
12:15;X16;;
12:35;X16;;
12:55;X16;;
13:15;X16;;
13:35;X16;;
13:55;X16;;
14:15;X16;;
14:35;X16;;
14:55;X16;;
15:15;X16;;
15:35;X16;;
15:55;X16;;
16:15;X16;;
16:35;X16;;
16:55;X16;;
17:15;X16;;
17:35;X16;;
17:55;X16;;
18:15;X16;;
18:35;X16;;
18:55;X16;;
19:15;X16;;
19:35;X16;;
19:55;X16;;
20:15;X16;;
20:35;X16;;
20:55;X16;;
21:15;X4;;
21:35;X4;;
22:00;X4;;
22:30;X4;;
23:00;X4;;
99;Niedziele i œwiêta;#FFE4E1
05:03;X4;;
05:33;X4;;
06:03;X15;;
06:33;X15;;
07:03;X15;;
07:33;X15;;
08:03;X15;;
08:33;X15;;
09:03;X15;;
09:33;X15;;
10:03;X15;;
10:33;X15;;
11:03;X15;;
11:33;X15;;
12:03;X16;;
12:35;X16;;
12:55;X16;;
13:15;X16;;
13:35;X16;;
13:55;X16;;
14:15;X16;;
14:35;X16;;
14:55;X16;;
15:15;X16;;
15:35;X16;;
15:55;X16;;
16:15;X16;;
16:35;X16;;
16:55;X16;;
17:15;X16;;
17:35;X16;;
17:55;X16;;
18:15;X16;;
18:35;X16;;
18:55;X16;;
19:15;X16;;
19:35;X16;;
19:55;X16;;
20:15;X16;;
20:35;X16;;
20:55;X16;;
21:15;X4;;
21:35;X4;;
22:00;X4;;
22:30;X4;;
23:00;X4;;
