149;Flagi;Gmina;Nazwa;X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);
1;B,P(116);ZTM;Wrzeszcz PKP;0;0;0;0;0;0;0;
2;P(1383);ZTM;Galeria Ba³tycka;3;4;3;4;4;4;3;
3;P(1927);ZTM;Chrzanowskiego;2;2;2;2;3;2;2;
4;P(1825);ZTM;Reymonta;1;1;1;2;2;1;1;
5;P(1823);ZTM;Mjr Hubala;1;1;1;1;2;1;1;
6;P(1820);ZTM;Norblina;2;2;2;2;2;2;2;
7;P(1819);ZTM;Meczet;1;1;1;1;1;1;1;
8;P(1817);ZTM;Szpital Marynarki Wojennej;1;1;1;1;1;1;1;
9;P(1815);ZTM;Jasia i Ma³gosi;1;2;2;2;2;2;2;
10;P(1813);ZTM;Ba¿yñskiego;1;1;1;1;1;1;1;
11;P(1792);ZTM;Przymorze SKM;3;3;3;3;3;3;3;
12;B,N,K0,P(1470);ZTM;Krynicka;2;3;2;3;3;2;3;
