256;Flagi;Gmina;Nazwa;X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);
1;B,P(1013);ZTM;Dworzec G³ówny;0;0;0;0;
2;P(1033);ZTM;Brama Wy¿ynna;2;3;2;2;
3;P(1201);ZTM;Zaroœlak (n/¿);2;2;2;2;
4;P(1203);ZTM;Elmet (n/¿);1;1;1;1;
5;P(1205);ZTM;Zremb (n/¿);1;1;1;1;
6;P(1207);ZTM;Sandomierska;1;1;1;1;
7;P(1227);ZTM;Ptasia;2;2;2;2;
8;P(1229);ZTM;Ma³omiejska (n/¿);2;3;2;2;
9;P(1734);ZTM;Platynowa;2;2;2;2;
10;P(191);ZTM;£ostowice Œwiêtokrzyska;2;3;2;2;
11;P(1319);ZTM;£ódzka (n/¿);1;2;1;1;
12;P(1321);ZTM;Niepo³omicka;1;2;2;1;
13;P(1789);ZTM;Wie¿ycka;2;2;2;1;
14;P(1956),S;ZTM;Os. Œwiêtokrzyskie (n/¿);2;2;2;2;
15;P(1765);ZTM;Kowale - Os. Olimp;2;2;2;1;
16;P(1693);ZTM;Kowale - Starowiejska;1;1;1;1;
17;P(1695);ZTM;Kowale - Kasztelañska;1;1;1;1;
18;P(1697);ZTM;Kowale Szlachecka (n/¿);1;2;1;1;
19;B,N,K0,P(165);ZTM;Jankowo;2;2;2;2;
