106;Flagi;Gmina;Nazwa;X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);
1;B,P(1017);ZTM;Dworzec G³ówny;0;0;0;
2;P(1031);ZTM;Brama Wy¿ynna;2;2;2;
3;P(1191);ZTM;RzeŸnicka;3;4;3;
4;P(1682);ZTM;Dobra (n/¿);2;2;2;
5;P(1193);ZTM;Wróbla;1;1;1;
6;P(1036);ZTM;Ch³odna;1;2;2;
7;P(1661);ZTM;Akademia Muzyczna;1;1;1;
8;P(1099);ZTM;Brama ¯u³awska;1;1;1;
9;P(1601);ZTM;Mostek;1;1;1;
10;P(1103);ZTM;Elbl¹ska - Wiadukt (n/¿);2;2;2;
11;P(1065);ZTM;Budzysza;3;3;3;
12;P(1069);ZTM;Sucharskiego - PKP (n/¿);3;3;3;
13;P(1071);ZTM;Ku Ujœciu (n/¿);1;1;1;
14;P(1073);ZTM;De Plelo (n/¿);3;3;3;
15;P(1975);ZTM;Twierdza Wis³oujœcie (n/¿);1;1;1;
16;P(1075);ZTM;Charpentiera Wis³oujœcie (n/¿);1;1;1;
17;P(1077);ZTM;Pok³adowa (n/¿);1;1;1;
18;P(1079);ZTM;Przystañ ¯eglugi;1;1;1;
19;B,N,K0,P(141);ZTM;Westerplatte;1;1;1;
