154;Flagi;Gmina;Nazwa;X10(00:00-29:59);X11(00:00-29:59);X12(00:00-29:59);X13(00:00-29:59);X14(00:00-29:59);X15(00:00-29:59);X16(00:00-29:59);X17(00:00-29:59);X18(00:00-29:59);X21(00:00-29:59);X22(00:00-29:59);X23(00:00-29:59);X24(00:00-29:59);X25(00:00-29:59);X26(00:00-29:59);X27(00:00-29:59);X28(00:00-29:59);X29(00:00-29:59)
1;B,P(110);ZTM;Wa³owa;;0;;0;0;;;0;;0;;0;;0;;0;;
2;P(1001);ZTM;Aksamitna;;1;;1;1;;;1;;1;;1;;1;;1;;
3;P(1000),1,I,H;ZTM;Wa³y Piastowskie;;;0;;;0;0;;;;0;;;;0;;0;0
4;P(1009);ZTM;Wa³y Piastowskie;;2;2;2;2;2;1;2;;1;2;1;;1;1;1;1;1
5;P(1013);ZTM;Dworzec G³ówny;0;3;3;3;4;4;3;3;0;2;2;2;0;4;2;2;2;2
6;P(1033);ZTM;Brama Wy¿ynna;2;2;2;3;3;3;3;2;2;2;2;3;3;3;3;2;2;2
7;P(1201);ZTM;Zaroœlak (n/¿);2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
8;P(1203);ZTM;Elmet (n/¿);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
9;P(1205);ZTM;Zremb (n/¿);1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
10;P(1207);ZTM;Sandomierska;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
11;P(1227);ZTM;Ptasia;2;2;2;2;3;3;2;2;2;2;2;2;2;3;2;2;2;2
12;P(1229);ZTM;Ma³omiejska (n/¿);1;1;1;1;2;2;1;1;1;1;1;1;1;2;1;1;1;1
13;P(1231);ZTM;Platynowa;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
14;P(1579);ZTM;Krzemowa;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;1;2;1
15;P(1233);ZTM;Uranowa;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
16;B,N,K0,P(132);ZTM;Orunia Górna;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
