227;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X17(00:00-29:59);X18(00:00-29:59);
1;B,P(134);ZTM;Che³m Cienista;0;0;0;0;0;0;0;0;
2;P(1753);ZTM;Che³m Witosa;1;2;2;2;2;2;2;2;
3;P(1717);ZTM;Cieszyñskiego;1;2;2;2;2;2;2;2;
4;P(1980);ZTM;Wilanowska;2;2;2;2;2;2;2;2;
5;P(1310);ZTM;Cmentarz £ostowicki;2;2;2;2;2;2;2;1;
6;P(1633);ZTM;Emaus;2;2;2;2;2;2;2;2;
7;P(1723);ZTM;Piekarnicza;2;2;2;2;2;2;2;2;
8;P(1371);ZTM;Warneñska;2;2;2;2;2;2;2;2;
9;P(1380);ZTM;Kolumba;1;1;1;1;1;1;1;1;
10;P(1378);ZTM;Brêtowo PKM;1;1;1;1;1;1;1;1;
11;P(1434);ZTM;Ogrodowa (n/¿);1;1;1;1;1;1;1;1;
12;P(1390);ZTM;Potokowa;1;1;1;2;2;1;1;1;
13;P(1926);ZTM;Trawki (n/¿);1;1;1;1;1;1;1;1;
14;P(1924);ZTM;Srebrzysko;1;1;1;1;1;1;1;1;
15;P(1922);ZTM;Zabytkowa;1;1;1;1;1;1;1;1;
16;P(1634);ZTM;Galeria Ba³tycka;2;3;3;3;2;2;2;2;
17;P(1728);ZTM;Skar¿yñskiego;2;2;2;2;2;2;2;2;
18;P(1752);ZTM;Zaspa SKM;1;1;1;1;1;1;1;1;
19;P(1768);ZTM;Startowa - Hynka;2;2;2;2;2;2;2;2;
20;P(1614);ZTM;Ko³obrzeska;2;2;2;2;2;2;2;2;
21;P(1896);ZTM;Ch³opska - Obroñców Wybrze¿a;1;1;1;1;1;1;1;1;
22;P(1490);ZTM;Czerwony Dwór;0;0;1;1;1;1;0;0;
23;P(1488);ZTM;Piastowska;1;1;2;2;2;1;1;1;
24;P(1762);ZTM;Pomorska;2;2;2;2;2;2;2;2;
25;B,N,K0,P(359);ZTM;Jelitkowo;2;2;2;2;2;2;2;2;
