12;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X5(00:00-29:59);X6(00:00-29:59);X12(00:00-29:59)
1;B,P(2263);ZTM;Migowo;;0;0;0;0;0;0;
2;P(2265);ZTM;Budapesztañska;;1;1;1;1;1;1;
3;P(2270);ZTM;Warneñska;;2;2;2;2;2;2;
4;P(2272);ZTM;Belgradzka;;2;2;2;2;2;2;
5;P(2274);ZTM;Piekarnicza;;1;1;1;1;1;1;
6;P(2150);ZTM;Siedlce;;4;4;4;4;4;4;
7;P(2148);ZTM;Skrajna;;1;1;1;1;1;1;
8;P(2146);ZTM;Zakopiañska;;1;1;1;1;1;1;
9;P(2144);ZTM;Ciasna;;1;1;1;1;1;1;
10;P(2142);ZTM;Paska;;1;1;1;1;1;1;
11;P(2140);ZTM;Powstañców Warszawskich;;2;2;2;2;2;2;
12;P(2151);ZTM;Nowe Ogrody;;2;3;3;2;2;2;
13;P(2135);ZTM;Dworzec PKS;;1;1;1;1;1;1;
14;P(2005);ZTM;Brama Oliwska;;2;2;2;2;2;2;
15;P(2007);ZTM;Chodowieckiego;;1;1;1;1;1;1;
16;P(2009);ZTM;Uniwersytet Medyczny;;1;1;1;1;1;1;
17;P(2011);ZTM;Traugutta;;1;2;2;1;1;1;
18;P(2015);ZTM;Opera Ba³tycka;;2;2;2;2;2;1;
19;P(2017);ZTM;Politechnika;;1;1;1;1;1;1;
20;P(2019);ZTM;Miszewskiego;;1;1;1;1;1;1;
21;P(2021);ZTM;Jaœkowa Dolina;;2;2;2;2;2;1;
22;P(2023);ZTM;Klonowa;;1;2;2;1;1;1;
23;P(2025);ZTM;Galeria Ba³tycka;;2;2;2;2;2;2;
24;P(2027);ZTM;Wojska Polskiego;;2;2;2;2;2;2;
25;P(2029);ZTM;Zamenhofa;;1;1;1;1;1;1;
26;P(2031);ZTM;Zajezdnia;;1;1;1;1;1;1;
27;P(213),1,I,H;ZTM;Strzy¿a PKM;;;;1;1;;1;
28;P(2033);ZTM;Strzy¿a PKM;0;1;1;;;1;;0
29;P(2035);ZTM;Uniwersytet;2;2;2;;;1;;1
30;P(2037);ZTM;Ba¿yñskiego;1;1;1;;;1;;1
31;P(2039);ZTM;Tetmajera;1;1;1;;;1;;1
32;P(2041);ZTM;Derdowskiego;1;1;1;;;1;;1
33;P(2043);ZTM;Obroñców Westerplatte;1;1;1;;;1;;1
34;B,N,K0,P(202);ZTM;Oliwa;1;1;1;;;1;;1
