99;Dni powszednie;#EEEEEE
04:52;X0;;
05:28;X0;;
05:51;X1;;
06:27;X1;;
06:51;X1;;
07:51;X1;;
09:01;X1;;
10:06;X2;;
11:02;X0;;
12:06;X2;;
13:06;X2;;
14:15;X0;;
15:10;X0;;
16:10;X0;;
17:10;X3;;
18:29;X4;;
19:25;X3;;
20:12;X3;;
21:22;X3;;
22:14;X3;;
99;Soboty;#E6E6FA
05:02;X3;;
06:12;X3;;
07:32;X3;;
08:26;X10;;
10:12;X10;;
11:21;X2;;
12:17;X10;;
13:17;X0;;
14:17;X0;;
15:17;X0;;
16:21;X2;;
17:21;X2;;
18:21;X2;;
19:42;X0;;
21:02;X4;;
22:18;X4;;
99;Niedziele i œwiêta;#FFE4E1
05:02;X3;;
06:12;X3;;
07:32;X3;;
08:30;X14;;
10:16;X14;;
11:21;X2;;
12:21;X14;;
13:21;X2;;
14:17;X0;;
15:17;X0;;
16:17;X0;;
17:21;X2;;
18:21;X2;;
19:42;X0;;
20:58;X3;;
22:14;X3;;
