X3;1;4;Z;kurs z zajazdem do ZOO, bez zajazdu do przystanku Wysoka Galaktyczna;
X3;6;9;Z;kurs z zajazdem do ZOO;
X4;1;4;Z;kurs z zajazdem do ZOO, bez zajazdu do przystanku Wysoka Galaktyczna;
X4;6;9;Z;kurs z zajazdem do ZOO;
X11;1;3;Y;kurs z zajazdem do ZOO, bez zajazdów do Odyseusza i Wysoka Galaktyczna;
X11;6;6;Y;kurs z zajazdem do ZOO, bez zajazdów do Odyseusza;
X11;8;9;Z;kurs z zajazdem do ZOO;
X12;1;3;Y;kurs z zajazdem do ZOO, bez zajazdów do Odyseusza i Wysoka Galaktyczna;
X12;6;6;Y;kurs z zajazdem do ZOO, bez zajazdów do Odyseusza;
X12;8;9;Z;kurs z zajazdem do ZOO;

