99;Dni powszednie;#EEEEEE
04:41;X0;;
05:03;X0;;
05:18;X0;;
05:38;X0;;
05:58;X0;;
06:18;X1;;
06:38;X1;;
06:58;X1;;
07:18;X1;;
07:38;X1;;
07:58;X1;;
08:18;X1;;
08:43;X1;;
09:13;X0;;
09:43;X0;;
10:13;X0;;
10:43;X0;;
11:13;X0;;
11:43;X0;;
12:13;X0;;
12:43;X0;;
13:13;X0;;
13:43;X0;;
14:22;X2;;
14:42;X2;;
15:02;X2;;
15:22;X2;;
15:42;X2;;
16:02;X2;;
16:25;X2;;
16:45;X2;;
17:05;X0;;
17:25;X0;;
17:45;X0;;
18:17;X0;;
18:47;X0;;
19:17;X0;;
19:47;X0;;
20:17;X0;;
20:47;X0;;
21:11;X0;;
21:41;X0;;
22:11;X0;;
22:41;X0;;
99;Soboty;#E6E6FA
04:47;X10;;
05:17;X10;;
05:41;X0;;
06:11;X0;;
06:41;X0;;
07:11;X0;;
07:38;X0;;
07:58;X0;;
08:18;X0;;
08:38;X0;;
08:58;X0;;
09:18;X0;;
09:38;X0;;
09:58;X0;;
10:18;X0;;
10:38;X0;;
10:58;X0;;
11:18;X0;;
11:38;X0;;
11:58;X0;;
12:18;X0;;
12:38;X0;;
12:58;X0;;
13:18;X0;;
13:38;X0;;
13:58;X0;;
14:18;X0;;
14:38;X0;;
14:58;X0;;
15:18;X0;;
15:38;X0;;
15:58;X0;;
16:18;X0;;
16:38;X0;;
16:58;X0;;
17:18;X0;;
17:38;X0;;
17:58;X0;;
18:18;X0;;
18:38;X0;;
18:58;X0;;
19:18;X0;;
19:38;X0;;
19:58;X0;;
20:18;X0;;
20:41;X0;;
21:11;X0;;
21:41;X0;;
22:11;X0;;
22:41;X0;;
99;Niedziele i œwiêta;#FFE4E1
04:47;X10;;
05:17;X10;;
05:41;X0;;
06:11;X0;;
06:41;X0;;
07:11;X0;;
07:41;X0;;
08:11;X0;;
08:41;X0;;
09:11;X0;;
09:41;X0;;
10:11;X0;;
10:41;X0;;
11:11;X0;;
11:38;X0;;
11:58;X0;;
12:18;X0;;
12:38;X0;;
12:58;X0;;
13:18;X0;;
13:38;X0;;
13:58;X0;;
14:18;X0;;
14:38;X0;;
14:58;X0;;
15:18;X0;;
15:38;X0;;
15:58;X0;;
16:18;X0;;
16:38;X0;;
16:58;X0;;
17:18;X0;;
17:38;X0;;
17:58;X0;;
18:18;X0;;
18:38;X0;;
18:58;X0;;
19:18;X0;;
19:38;X0;;
19:58;X0;;
20:18;X0;;
20:41;X0;;
21:11;X0;;
21:41;X0;;
22:11;X0;;
22:41;X0;;
