99;Dni powszednie;#EEEEEE
04:35;X2;
05:05;X2;
05:32;X2;
05:57;X2;
06:17;X3;
06:42;X3;
06:57;X3;
07:17;X3;
07:32;X3;
07:57;X3;
08:17;X2;
08:47;X2;
09:25;X2;
10:05;X2;
10:45;X2;
11:25;X2;
12:05;X2;
12:42;X2;
13:12;X3;
13:32;X3;
13:52;X3;
14:12;X3;
14:32;X3;
14:52;X3;
15:12;X3;
15:32;X3;
15:52;X3;
16:12;X3;
16:32;X3;
16:52;X3;
17:22;X2;
18:02;X2;
18:42;X2;
19:22;X2;
20:02;X2;
20:42;X2;
22:00;X2;
99;Soboty;#E6E6FA
04:45;X2;
05:38;X2;
06:08;X2;
06:48;X2;
07:23;X2;
08:03;X2;
08:43;X2;
09:23;X2;
10:03;X2;
10:43;X2;
11:23;X2;
12:03;X2;
12:43;X2;
13:23;X2;
14:03;X2;
14:43;X2;
15:23;X2;
16:03;X2;
16:43;X2;
17:23;X2;
18:03;X2;
18:53;X2;
19:43;X2;
20:53;X2;
22:00;X2;
99;Niedziele i œwiêta;#FFE4E1
04:45;X2;
05:55;X2;
07:01;X2;
08:25;X2;
09:40;X2;
10:43;X2;
11:23;X2;
12:03;X2;
12:43;X2;
13:23;X2;
14:03;X2;
14:43;X2;
15:23;X2;
16:03;X2;
16:43;X2;
17:23;X2;
18:03;X2;
18:43;X2;
19:49;X2;
20:53;X2;
22:00;X2;
