99;Dni powszednie - okres nauki szkolnej;#EEEEEE
05:21;X0;;
05:51;X0;;
06:01;X0;;
06:13;X0;;
06:21;X0;;
06:31;X0;;
06:41;X0;;
06:51;X0;;
07:01;X0;;
07:11;X0;;
07:21;X0;;
07:31;X0;;
07:41;X0;;
07:51;X0;;
08:06;X0;;
08:21;X0;;
08:36;X0;;
08:51;X0;;
09:06;X0;;
09:25;X0;;
09:45;X0;;
10:05;X0;;
10:25;X0;;
10:45;X0;;
11:05;X0;;
11:25;X0;;
11:45;X0;;
12:05;X0;;
12:25;X0;;
12:45;X0;;
13:05;X0;;
13:25;X0;;
13:41;X0;;
13:51;X0;;
14:01;X0;;
14:11;X0;;
14:21;X0;;
14:31;X0;;
14:41;X0;;
14:51;X0;;
15:01;X0;;
15:11;X0;;
15:21;X0;;
15:31;X0;;
15:41;X0;;
15:51;X0;;
16:01;X0;;
16:11;X0;;
16:21;X0;;
16:31;X0;;
16:41;X0;;
16:51;X0;;
17:01;X0;;
17:11;X0;;
17:26;X0;;
17:41;X0;;
17:56;X0;;
18:11;X0;;
18:26;X0;;
18:42;X0;;
19:00;X0;;
19:20;X0;;
19:40;X0;;
20:00;X0;;
20:20;X0;;
20:50;X0;;
21:20;X0;;
21:50;X0;;
22:20;X0;;
22:43;X0;;
99;Dni powszednie - ferie i wakacje;#EEEEEE
05:21;X0;;
05:51;X0;;
06:01;X0;;
06:11;X0;;
06:21;X0;;
06:34;X0;;
06:46;X0;;
06:58;X0;;
07:11;X0;;
07:26;X0;;
07:41;X0;;
07:51;X0;;
08:06;X0;;
08:21;X0;;
08:36;X0;;
08:51;X0;;
09:05;X0;;
09:25;X0;;
09:45;X0;;
10:05;X0;;
10:25;X0;;
10:45;X0;;
11:05;X0;;
11:25;X0;;
11:45;X0;;
12:05;X0;;
12:25;X0;;
12:45;X0;;
13:05;X0;;
13:25;X0;;
13:41;X0;;
13:57;X0;;
14:11;X0;;
14:26;X0;;
14:41;X0;;
14:58;X0;;
15:11;X0;;
15:26;X0;;
15:41;X0;;
15:58;X0;;
16:11;X0;;
16:26;X0;;
16:41;X0;;
16:55;X0;;
17:11;X0;;
17:26;X0;;
17:41;X0;;
17:56;X0;;
18:11;X0;;
18:26;X0;;
18:42;X0;;
19:00;X0;;
19:20;X0;;
19:40;X0;;
20:00;X0;;
20:20;X0;;
20:50;X0;;
21:20;X0;;
21:50;X0;;
22:20;X0;;
22:43;X0;;
99;Soboty;#E6E6FA
05:21;X0;;
06:04;X0;;
06:41;X0;;
07:11;X0;;
07:40;X0;;
08:10;X0;;
08:40;X0;;
09:10;X0;;
09:40;X0;;
10:10;X0;;
10:40;X0;;
11:10;X0;;
11:40;X0;;
12:10;X0;;
12:30;X0;;
12:50;X0;;
13:10;X0;;
13:30;X0;;
13:50;X0;;
14:10;X0;;
14:30;X0;;
14:50;X0;;
15:10;X0;;
15:30;X0;;
15:50;X0;;
16:10;X0;;
16:30;X0;;
16:50;X0;;
17:10;X0;;
17:30;X0;;
17:50;X0;;
18:10;X0;;
18:30;X0;;
18:50;X0;;
19:10;X0;;
19:40;X0;;
20:10;X0;;
20:50;X0;;
21:20;X0;;
21:50;X0;;
22:20;X0;;
22:43;X0;;
99;Niedziele i œwiêta;#FFE4E1
05:21;X0;;
06:04;X0;;
06:34;X0;;
07:04;X0;;
07:34;X0;;
08:04;X0;;
08:34;X0;;
09:04;X0;;
09:40;X0;;
10:10;X0;;
10:40;X0;;
11:10;X0;;
11:40;X0;;
12:10;X0;;
12:30;X0;;
12:50;X0;;
13:10;X0;;
13:30;X0;;
13:50;X0;;
14:10;X0;;
14:30;X0;;
14:50;X0;;
15:10;X0;;
15:30;X0;;
15:50;X0;;
16:10;X0;;
16:30;X0;;
16:50;X0;;
17:10;X0;;
17:30;X0;;
17:50;X0;;
18:10;X0;;
18:30;X0;;
18:50;X0;;
19:10;X0;;
19:40;X0;;
20:10;X0;;
20:50;X0;;
21:20;X0;;
21:50;X0;;
22:20;X0;;
22:43;X0;;
