99;Dni powszednie - okres nauki szkolnej;#EEEEEE
05:16;X1;;
05:42;X1;;
05:55;X1;;
06:05;X1;;
06:15;X1;;
06:25;X1;;
06:35;X1;;
06:44;X1;;
06:54;X1;;
07:04;X2;;
07:14;X2;;
07:24;X2;;
07:34;X2;;
07:44;X2;;
07:59;X2;;
08:14;X2;;
08:29;X2;;
08:44;X2;;
08:59;X2;;
09:17;X2;;
09:37;X2;;
09:57;X2;;
10:17;X2;;
10:37;X2;;
10:57;X2;;
11:17;X2;;
11:37;X2;;
11:57;X2;;
12:17;X2;;
12:37;X2;;
12:57;X2;;
13:17;X2;;
13:32;X2;;
13:42;X2;;
13:52;X2;;
14:02;X3;;
14:12;X3;;
14:22;X3;;
14:32;X3;;
14:43;X3;;
14:53;X3;;
15:03;X3;;
15:13;X3;;
15:23;X3;;
15:32;X3;;
15:43;X3;;
15:53;X3;;
16:03;X3;;
16:13;X3;;
16:23;X3;;
16:33;X3;;
16:43;X3;;
16:53;X3;;
17:05;X2;;
17:20;X2;;
17:35;X2;;
17:50;X2;;
18:05;X2;;
18:20;X2;;
18:36;X2;;
18:52;X2;;
19:12;X2;;
19:32;X2;;
19:52;X2;;
20:12;X1;;
20:42;X1;;
21:12;X1;;
21:37;X1;;
22:07;X1;;
22:37;X1;;
99;Dni powszednie - ferie i wakacje;#EEEEEE
05:16;X1;;
05:42;X1;;
05:55;X1;;
06:05;X1;;
06:15;X1;;
06:28;X1;;
06:40;X1;;
06:50;X1;;
07:04;X2;;
07:16;X2;;
07:34;X2;;
07:44;X2;;
07:59;X2;;
08:14;X2;;
08:29;X2;;
08:44;X2;;
08:59;X2;;
09:17;X2;;
09:37;X2;;
09:57;X2;;
10:17;X2;;
10:37;X2;;
10:57;X2;;
11:17;X2;;
11:37;X2;;
11:57;X2;;
12:17;X2;;
12:37;X2;;
12:57;X2;;
13:17;X2;;
13:32;X2;;
13:47;X2;;
14:02;X3;;
14:17;X3;;
14:32;X3;;
14:47;X3;;
15:03;X3;;
15:17;X3;;
15:33;X3;;
15:47;X3;;
16:03;X3;;
16:16;X3;;
16:33;X3;;
16:47;X3;;
17:05;X2;;
17:20;X2;;
17:35;X2;;
17:50;X2;;
18:05;X2;;
18:20;X2;;
18:36;X2;;
18:52;X2;;
19:12;X2;;
19:32;X2;;
19:52;X2;;
20:12;X1;;
20:42;X1;;
21:12;X1;;
21:37;X1;;
22:07;X1;;
22:37;X1;;
99;Soboty;#E6E6FA
05:16;X1;;
05:52;X1;;
06:36;X1;;
07:06;X1;;
07:32;X1;;
08:02;X1;;
08:32;X1;;
09:02;X2;;
09:32;X2;;
10:02;X2;;
10:32;X2;;
11:02;X2;;
11:32;X2;;
12:02;X2;;
12:22;X2;;
12:42;X2;;
13:02;X2;;
13:22;X2;;
13:42;X2;;
14:02;X2;;
14:22;X2;;
14:42;X2;;
15:02;X2;;
15:22;X2;;
15:42;X2;;
16:02;X2;;
16:22;X2;;
16:42;X2;;
17:02;X2;;
17:22;X2;;
17:42;X2;;
18:02;X2;;
18:22;X2;;
18:42;X2;;
19:02;X2;;
19:32;X2;;
20:02;X1;;
20:32;X1;;
21:02;X1;;
21:37;X1;;
22:07;X1;;
22:37;X1;;
99;Niedziele i œwiêta;#FFE4E1
05:16;X1;;
05:52;X1;;
06:22;X1;;
06:52;X1;;
07:22;X1;;
07:52;X1;;
08:22;X1;;
08:52;X1;;
09:32;X2;;
10:02;X2;;
10:32;X2;;
11:02;X2;;
11:32;X2;;
12:02;X2;;
12:22;X2;;
12:42;X2;;
13:02;X2;;
13:22;X2;;
13:42;X2;;
14:02;X2;;
14:22;X2;;
14:42;X2;;
15:02;X2;;
15:22;X2;;
15:42;X2;;
16:02;X2;;
16:22;X2;;
16:42;X2;;
17:02;X2;;
17:22;X2;;
17:42;X2;;
18:02;X2;;
18:22;X2;;
18:42;X2;;
19:02;X2;;
19:32;X2;;
20:02;X1;;
20:32;X1;;
21:02;X1;;
21:37;X1;;
22:07;X1;;
22:37;X1;;
