113;Flagi;Gmina;Nazwa;X0(00:00-29:59);X1(00:00-29:59);X2(00:00-29:59);X3(00:00-29:59);X4(00:00-29:59);X10(00:00-29:59);
1;B,P(1210);ZTM;Goœcinna;;0;0;0;0;0;
2;P(1208);ZTM;Rejtana;;2;2;2;2;2;
3;P(1227);ZTM;Ptasia;;3;3;3;4;3;
4;P(1229);ZTM;Ma³omiejska (n/¿);;1;1;1;1;1;
5;P(1734);ZTM;Platynowa;;2;2;2;3;2;
6;P(191);ZTM;£ostowice Œwiêtokrzyska;0;4;4;3;4;3;
7;P(1319);ZTM;£ódzka (n/¿);1;1;1;1;1;1;
8;P(1321);ZTM;Niepo³omicka;1;1;2;2;2;1;
9;P(183);ZTM;Kampinoska;3;3;3;3;4;3;
10;P(1799);ZTM;Liliowa;3;3;4;3;4;3;
11;P(1901);ZTM;Hokejowa;1;1;1;1;1;1;
12;B,N,K0,P(184);ZTM;Olimpijska;2;2;2;2;2;2;
