113;Flagi;Gmina;Nazwa;X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59);X9(00:00-29:59);X11(00:00-29:59);
1;B,P(184);ZTM;Olimpijska;0;0;0;0;;0;
2;P(1902);ZTM;Hokejowa;3;3;3;3;;3;
3;P(1800);ZTM;Liliowa;1;1;1;1;;1;
4;P(183);ZTM;Kampinoska;3;4;4;3;;3;
5;P(1320);ZTM;Niepo³omicka;3;4;5;4;;3;
6;P(1318);ZTM;£ódzka (n/¿);1;1;2;1;;1;
7;P(390);ZTM;£ostowice Œwiêtokrzyska;1;1;1;1;0;1;
8;P(190);ZTM;£ostowice Œwiêtokrzyska;0;0;0;0;0;0;
9;P(1743);ZTM;Œwiêtokrzyska (n/¿);1;1;1;1;1;1;
10;P(1232);ZTM;Platynowa;1;2;2;1;1;1;
11;P(1230);ZTM;Ma³omiejska (n/¿);1;2;2;1;1;1;
12;P(1228);ZTM;Ptasia;1;1;2;1;1;2;
13;P(1209);ZTM;Rejtana;2;2;3;2;2;2;
14;B,N,K0,P(331);ZTM;Goœcinna;2;2;2;2;2;2;
