131;Flagi;Gmina;Nazwa;X5(00:00-29:59);X6(00:00-29:59);X7(00:00-29:59);X8(00:00-29:59)
1;B,P(150);ZTM;Matemblewo;;0;0;0
2;P(1736);ZTM;Karskiego;;2;2;2
3;P(1438);ZTM;Potokowa - Matemblewska (n/¿);;1;1;1
4;P(1436);ZTM;Dolne M³yny (n/¿);;1;1;1
5;P(1379);ZTM;Brêtowo PKM;;1;1;1
6;P(1381);ZTM;Kolumba;;2;2;2
7;P(1374);ZTM;Warneñska;;1;1;1
8;P(1372);ZTM;Piecewska;;2;2;2
9;P(1338);ZTM;Kurpiñskiego;;2;2;2
10;P(1336);ZTM;Otwarta;;1;1;1
11;P(151);ZTM;Suchanino;;1;1;1
12;P(1340);ZTM;Nad Jarem - Zakosy;;1;1;1
13;P(1332);ZTM;Cygañska Góra;;1;1;1
14;P(1880);ZTM;Focha (n/¿);;1;1;1
15;P(1330);ZTM;P³owce;;1;1;1
16;P(1017);ZTM;Dworzec G³ówny;0;5;6;6
17;P(1031);ZTM;Brama Wy¿ynna;2;2;2;
18;P(1195);ZTM;Urz¹d Wojewódzki / Marsza³kowski;2;2;2;
19;P(1197);ZTM;Dolna Brama;1;1;1;
20;P(1199);ZTM;Sandomierska - Olszyñska;2;2;2;
21;P(1769);ZTM;Olszyñska;2;2;2;
22;P(1869);ZTM;Miedza (n/¿);1;1;1;
23;B,N,K0,P(137);ZTM;Olszynka - Szko³a;3;3;3;
